"Comment","Designator","MPN","LCSC"
"BAT60B","D1, ","BAT60B","C514095"
"LED","D2, ","KT-0603R","C2286"
"MountingHole","H1, ","",""
"JST-PH2","J1, ","B2B-PH-SM4-TB(lf)(sn)",""
"JST-SH","J2, J5, ","JST-SH-BM04B-SRSS-TB",""
"191-009-113L551","J3, ","191-009-113L551",""
"STEMMA JST-PH connector","J4, ","B4B-PH-SM4-TB(lf)(sn)",""
"10K","R1, R2, ","0603WAF1002T5E","C25804"
"2K","R3, ","0603WAF2001T5E","C22975"
"3.3K","R4, ","0603WAF3301T5E","C22978"
"1K","R5, ","0603WAF1001T5E","C21190"
"QT_PY","U1, ","-",""
"AQY212","U2, ","AQY212GSZ","C129283"
