Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",134.000000,-156.000000,0.000000,top
"C2","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.700000,-71.900000,0.000000,top
"C3","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.700000,-77.900000,0.000000,top
"C4","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-81.900000,0.000000,top
"C5","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-87.900000,0.000000,top
"C6","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-91.900000,0.000000,top
"C7","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-97.900000,0.000000,top
"C8","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-101.900000,0.000000,top
"C9","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-107.900000,0.000000,top
"C10","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-111.900000,0.000000,top
"C11","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-117.900000,0.000000,top
"C12","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-121.900000,0.000000,top
"C13","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-127.900000,0.000000,top
"C14","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-131.900000,0.000000,top
"C15","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-137.900000,0.000000,top
"C16","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-141.900000,0.000000,top
"C17","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-147.900000,0.000000,top
"FB1","Ferrite_Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.200000,-75.000000,180.000000,top
"FB2","Ferrite_Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.000000,-85.000000,180.000000,top
"FB3","Ferrite_Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.000000,-95.000000,180.000000,top
"FB4","Ferrite_Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.000000,-105.000000,180.000000,top
"FB5","Ferrite_Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.000000,-115.000000,180.000000,top
"FB6","Ferrite_Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.000000,-125.000000,180.000000,top
"FB7","Ferrite_Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.000000,-135.000000,180.000000,top
"FB8","Ferrite_Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.000000,-145.000000,180.000000,top
"J1","Conn_01x04","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",125.000000,-153.000000,0.000000,top
"R1","10K 0.1%","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.800000,-73.000000,90.000000,top
"R2","10K 0.1%","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.600000,-83.000000,90.000000,top
"R3","10K 0.1%","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.600000,-93.000000,90.000000,top
"R4","10K 0.1%","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.600000,-103.000000,90.000000,top
"R5","10K 0.1%","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.600000,-113.000000,90.000000,top
"R6","10K 0.1%","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.600000,-123.000000,90.000000,top
"R7","10K 0.1%","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.600000,-133.000000,90.000000,top
"R8","10K 0.1%","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.600000,-143.000000,90.000000,top
"R9","390","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.600000,-77.500000,270.000000,top
"R10","390","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.400000,-87.500000,270.000000,top
"R11","390","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.400000,-97.500000,270.000000,top
"R12","390","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.400000,-107.500000,270.000000,top
"R13","390","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.400000,-117.500000,270.000000,top
"R14","390","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.400000,-127.500000,270.000000,top
"R15","390","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.400000,-137.500000,270.000000,top
"R16","390","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.400000,-147.500000,270.000000,top
"RN1","4 x 10K ohm","R_Array_Concave_4x0603",147.800000,-152.400000,0.000000,top
"RN2","4 x 10K ohm","R_Array_Concave_4x0603",135.600000,-152.000000,180.000000,top
"RN3","4 x 10K ohm","R_Array_Concave_4x0603",130.700000,-153.900000,0.000000,top
"U1","TCA9534APWR","TSSOP-16_4.4x5mm_P0.65mm",141.500000,-153.500000,180.000000,top
"U2","AQY212GSZ","AQY211G2S_samacsys",133.500000,-75.000000,90.000000,top
"U3","AQY212GSZ","AQY211G2S_samacsys",133.300000,-85.000000,90.000000,top
"U4","AQY212GSZ","AQY211G2S_samacsys",133.300000,-95.000000,90.000000,top
"U5","AQY212GSZ","AQY211G2S_samacsys",133.300000,-105.000000,90.000000,top
"U6","AQY212GSZ","AQY211G2S_samacsys",133.300000,-115.000000,90.000000,top
"U7","AQY212GSZ","AQY211G2S_samacsys",133.300000,-125.000000,90.000000,top
"U8","AQY212GSZ","AQY211G2S_samacsys",133.300000,-135.000000,90.000000,top
"U9","AQY212GSZ","AQY211G2S_samacsys",133.300000,-145.000000,90.000000,top
